Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern
DELHIVERY,472.6,0.4,20833000.0,1.05,,,,,,,,,504225.0,-95.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Fresh Long Buildup
BRITANNIA,5377.5,0.99,1929875.0,-0.02,,,,,,,,,38750.0,-95.17,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Covering
HDFCLIFE,556.5,-0.03,37001800.0,0.98,,,,,,,,,523600.0,-95.26,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup
MFSL,1518.9,0.02,7965600.0,1.16,,,,,,,,,154800.0,-95.29,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Fresh Long Buildup
HEROMOTOCO,5156.3,0.32,4450650.0,0.46,,,,,,,,,88350.0,-95.32,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Fresh Long Buildup
AMBER,7270.0,-0.53,1106300.0,1.07,,,,,,,,,24100.0,-95.79,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup
POLYCAB,9060.0,-0.01,2008500.0,0.82,,,,,,,,,38375.0,-95.75,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup
POWERGRID,286.5,-0.92,38851200.0,0.76,,,,,,,,,661200.0,-95.64,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup
ANGELONE,305.05,-0.51,22585000.0,0.98,,,,,,,,,510000.0,-95.6,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup
PATANJALI,348.85,-0.01,25733350.0,-0.08,,,,,,,,,552550.0,-95.91,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Long Unwinding
